time	V(cuadrada)	V(vout)
2.693490258362344e-01	0.000000e+00	1.292677e-01
2.694490258362344e-01	0.000000e+00	1.295129e-01
2.695490258362344e-01	0.000000e+00	1.297381e-01
2.696490258362343e-01	0.000000e+00	1.299399e-01
2.697490258362343e-01	0.000000e+00	1.301180e-01
2.698490258362343e-01	0.000000e+00	1.302698e-01
2.699490258362343e-01	0.000000e+00	1.303961e-01
2.700490258362343e-01	0.000000e+00	1.304952e-01
2.701490258362343e-01	0.000000e+00	1.305688e-01
2.702490258362343e-01	0.000000e+00	1.306161e-01
2.703490258362343e-01	0.000000e+00	1.306395e-01
2.705490258362342e-01	0.000000e+00	1.306174e-01
2.707490258362342e-01	0.000000e+00	1.305156e-01
2.709490258362342e-01	0.000000e+00	1.303493e-01
2.710490258362342e-01	0.000000e+00	1.302465e-01
2.711490258362342e-01	0.000000e+00	1.301337e-01
2.712490258362342e-01	0.000000e+00	1.300113e-01
2.713490258362342e-01	0.000000e+00	1.298821e-01
2.714490258362341e-01	0.000000e+00	1.297457e-01
2.715490258362341e-01	0.000000e+00	1.296046e-01
2.716490258362341e-01	0.000000e+00	1.294581e-01
2.717490258362341e-01	0.000000e+00	1.293079e-01
2.718490258362341e-01	0.000000e+00	1.291530e-01
2.719490258362341e-01	0.000000e+00	1.289947e-01
2.720490258362341e-01	0.000000e+00	1.288316e-01
2.722490258362341e-01	0.000000e+00	1.284918e-01
2.723347401219484e-01	0.000000e+00	1.283407e-01
2.724204544076626e-01	0.000000e+00	1.281840e-01
2.725061686933769e-01	0.000000e+00	1.280218e-01
2.725918829790911e-01	0.000000e+00	1.278540e-01
2.726775972648054e-01	0.000000e+00	1.276806e-01
2.727633115505197e-01	0.000000e+00	1.275017e-01
2.728490258362340e-01	0.000000e+00	1.273172e-01
2.730490258362340e-01	0.000000e+00	1.268578e-01
2.731490258362340e-01	0.000000e+00	1.266136e-01
2.733490258362339e-01	0.000000e+00	1.260943e-01
2.735490258362339e-01	0.000000e+00	1.255347e-01
2.737490258362339e-01	0.000000e+00	1.249365e-01
2.738490258362339e-01	0.000000e+00	1.246225e-01
2.739490258362339e-01	0.000000e+00	1.243015e-01
2.740490258362339e-01	0.000000e+00	1.239736e-01
2.741490258362339e-01	0.000000e+00	1.236387e-01
2.742490258362338e-01	0.000000e+00	1.232970e-01
2.743490258362338e-01	0.000000e+00	1.229483e-01
2.744490258362338e-01	0.000000e+00	1.225927e-01
2.746490258362338e-01	0.000000e+00	1.218700e-01
2.748490258362338e-01	0.000000e+00	1.211310e-01
2.750490258362338e-01	0.000000e+00	1.203783e-01
2.752490258362337e-01	0.000000e+00	1.196137e-01
2.755490258362337e-01	0.000000e+00	1.184460e-01
2.756918829790908e-01	0.000000e+00	1.178815e-01
2.758347401219480e-01	0.000000e+00	1.173101e-01
2.759775972648051e-01	0.000000e+00	1.167320e-01
2.761204544076622e-01	0.000000e+00	1.161471e-01
2.762633115505193e-01	0.000000e+00	1.155555e-01
2.764061686933765e-01	0.000000e+00	1.149571e-01
2.765490258362336e-01	0.000000e+00	1.143519e-01
2.768490258362336e-01	0.000000e+00	1.130561e-01
2.770061686933764e-01	0.000000e+00	1.123637e-01
2.771633115505192e-01	0.000000e+00	1.116653e-01
2.773204544076621e-01	0.000000e+00	1.109610e-01
2.774775972648049e-01	0.000000e+00	1.102507e-01
2.776347401219478e-01	0.000000e+00	1.095346e-01
2.777918829790906e-01	0.000000e+00	1.088125e-01
2.779490258362334e-01	0.000000e+00	1.080844e-01
2.781204544076620e-01	0.000000e+00	1.072872e-01
2.782918829790905e-01	0.000000e+00	1.064877e-01
2.784633115505191e-01	0.000000e+00	1.056859e-01
2.786347401219477e-01	0.000000e+00	1.048817e-01
2.788061686933762e-01	0.000000e+00	1.040753e-01
2.789775972648048e-01	0.000000e+00	1.032665e-01
2.791490258362333e-01	0.000000e+00	1.024553e-01
2.794490258362333e-01	0.000000e+00	1.010297e-01
2.797490258362332e-01	0.000000e+00	9.960123e-02
2.800490258362332e-01	0.000000e+00	9.817005e-02
2.803490258362332e-01	0.000000e+00	9.673613e-02
2.806490258362331e-01	0.000000e+00	9.529946e-02
2.809490258362331e-01	0.000000e+00	9.386005e-02
2.812490258362331e-01	0.000000e+00	9.241788e-02
2.815775972648045e-01	0.000000e+00	9.084404e-02
2.819061686933759e-01	0.000000e+00	8.927865e-02
2.822347401219473e-01	0.000000e+00	8.772173e-02
2.825633115505186e-01	0.000000e+00	8.617326e-02
2.828918829790900e-01	0.000000e+00	8.463325e-02
2.832204544076614e-01	0.000000e+00	8.310170e-02
2.835490258362328e-01	0.000000e+00	8.157860e-02
2.842918829790899e-01	0.000000e+00	7.816724e-02
2.850347401219470e-01	0.000000e+00	7.483945e-02
2.857775972648040e-01	0.000000e+00	7.159525e-02
2.865204544076611e-01	0.000000e+00	6.843463e-02
2.872633115505181e-01	0.000000e+00	6.535760e-02
2.880061686933752e-01	0.000000e+00	6.236415e-02
2.887490258362322e-01	0.000000e+00	5.945428e-02
2.897490258362321e-01	0.000000e+00	5.570752e-02
2.907490258362320e-01	0.000000e+00	5.213335e-02
2.917490258362319e-01	0.000000e+00	4.873178e-02
2.927490258362318e-01	0.000000e+00	4.550281e-02
2.937490258362317e-01	0.000000e+00	4.244644e-02
2.947490258362316e-01	0.000000e+00	3.956267e-02
2.957490258362315e-01	0.000000e+00	3.685149e-02
2.963563078596270e-01	0.000000e+00	3.528210e-02
2.969635898830225e-01	0.000000e+00	3.376679e-02
