time	V(senoidal)	V(vout)
1.965634736614952e-02	-8.318093e-01	9.008612e-02
1.972685351227832e-02	-9.894431e-01	9.867287e-02
1.975634566594686e-02	-9.992052e-01	9.662472e-02
1.977533170915535e-02	-9.873602e-01	9.352282e-02
1.980618097455933e-02	-9.383414e-01	8.565958e-02
1.985575198768919e-02	-7.872503e-01	6.653731e-02
1.993241534612888e-02	-4.119991e-01	2.579023e-02
1.999729087982316e-02	-1.702108e-02	-1.368516e-02
2.006496074584385e-02	3.969215e-01	-5.216759e-02
2.012722617083784e-02	7.169279e-01	-7.944617e-02
2.019957194408262e-02	9.502220e-01	-9.567663e-02
2.024572932329249e-02	9.996400e-01	-9.588761e-02
2.026341234660145e-02	9.964512e-01	-9.376520e-02
2.028682960128814e-02	9.733446e-01	-8.913343e-02
2.032476434630182e-02	8.916777e-01	-7.751878e-02
2.038503141915626e-02	6.611637e-01	-5.041372e-02
2.045169403859148e-02	2.988767e-01	-1.226546e-02
2.051410659761710e-02	-8.851836e-02	2.569092e-02
2.057796683161550e-02	-4.705200e-01	6.055603e-02
2.064518810254357e-02	-7.908788e-01	8.689377e-02
2.072138537803525e-02	-9.838811e-01	9.836813e-02
2.075426776992839e-02	-9.996405e-01	9.653340e-02
2.077194896751111e-02	-9.905056e-01	9.381039e-02
2.080069623706438e-02	-9.496956e-01	8.690724e-02
2.084701368739128e-02	-8.199029e-01	6.998341e-02
2.091926395136134e-02	-4.858012e-01	3.291259e-02
2.098398537513502e-02	-1.004531e-01	-6.220236e-03
2.105282616178483e-02	3.258556e-01	-4.644675e-02
2.111571972431681e-02	6.646972e-01	-7.592871e-02
2.119587644350696e-02	9.427319e-01	-9.600372e-02
2.124423159495059e-02	9.993433e-01	-9.677594e-02
2.126285519727200e-02	9.967397e-01	-9.463908e-02
2.128592357616843e-02	9.746345e-01	-9.016542e-02
2.132330385435166e-02	8.957941e-01	-7.890856e-02
2.138275078096363e-02	6.718462e-01	-5.250078e-02
2.144951047666388e-02	3.119408e-01	-1.453639e-02
2.151186693659857e-02	-7.449310e-02	2.339323e-02
2.157585523837136e-02	-4.587719e-01	5.854796e-02
2.164220818597351e-02	-7.792827e-01	8.505397e-02
2.171143186657720e-02	-9.707813e-01	9.715596e-02
2.175042845703423e-02	-9.999964e-01	9.600184e-02
2.176569766420311e-02	-9.951399e-01	9.393440e-02
2.179054481363085e-02	-9.677262e-01	8.869387e-02
2.183074521798956e-02	-8.740413e-01	7.566496e-02
2.189433037261557e-02	-6.162261e-01	4.577680e-02
2.196056208855879e-02	-2.452676e-01	7.030751e-03
2.202290139629803e-02	1.433977e-01	-3.081050e-02
2.208624386568592e-02	5.157529e-01	-6.454948e-02
2.215658790201691e-02	8.326473e-01	-9.011497e-02
2.222696827084292e-02	9.895474e-01	-9.863908e-02
2.225638907701843e-02	9.991943e-01	-9.658618e-02
