Freq.	V(vout)
1.19674053130724e+00	(-4.50020097134241e+01dB,1.71303567992446e+02°)
1.19949930314937e+00	(-4.49622345522670e+01dB,1.71283595262481e+02°)
1.20226443461741e+00	(-4.49224604230289e+01dB,1.71263577005487e+02°)
1.20503594037179e+00	(-4.48826873304188e+01dB,1.71243513120056e+02°)
1.20781383510677e+00	(-4.48429152791668e+01dB,1.71223403504570e+02°)
1.21059813355048e+00	(-4.48031442740244e+01dB,1.71203248057199e+02°)
1.21338885046497e+00	(-4.47633743197646e+01dB,1.71183046675907e+02°)
1.21618600064636e+00	(-4.47236054211819e+01dB,1.71162799258443e+02°)
1.21898959892486e+00	(-4.46838375830922e+01dB,1.71142505702349e+02°)
1.22179966016487e+00	(-4.46440708103334e+01dB,1.71122165904953e+02°)
1.22461619926504e+00	(-4.46043051077650e+01dB,1.71101779763375e+02°)
1.22743923115840e+00	(-4.45645404802685e+01dB,1.71081347174518e+02°)
1.23026877081238e+00	(-4.45247769327474e+01dB,1.71060868035079e+02°)
1.23310483322890e+00	(-4.44850144701272e+01dB,1.71040342241538e+02°)
1.23594743344450e+00	(-4.44452530973558e+01dB,1.71019769690163e+02°)
1.23879658653036e+00	(-4.44054928194032e+01dB,1.70999150277012e+02°)
1.24165230759240e+00	(-4.43657336412617e+01dB,1.70978483897927e+02°)
1.24451461177138e+00	(-4.43259755679464e+01dB,1.70957770448536e+02°)
1.24738351424294e+00	(-4.42862186044947e+01dB,1.70937009824255e+02°)
1.25025903021771e+00	(-4.42464627559669e+01dB,1.70916201920285e+02°)
1.25314117494141e+00	(-4.42067080274458e+01dB,1.70895346631611e+02°)
1.25602996369487e+00	(-4.41669544240373e+01dB,1.70874443853004e+02°)
1.25892541179416e+00	(-4.41272019508703e+01dB,1.70853493479022e+02°)
1.26182753459066e+00	(-4.40874506130968e+01dB,1.70832495404003e+02°)
1.26473634747114e+00	(-4.40477004158917e+01dB,1.70811449522074e+02°)
1.26765186585784e+00	(-4.40079513644534e+01dB,1.70790355727142e+02°)
1.27057410520853e+00	(-4.39682034640038e+01dB,1.70769213912901e+02°)
1.27350308101665e+00	(-4.39284567197881e+01dB,1.70748023972824e+02°)
1.27643880881134e+00	(-4.38887111370752e+01dB,1.70726785800170e+02°)
1.27938130415752e+00	(-4.38489667211575e+01dB,1.70705499287982e+02°)
1.28233058265601e+00	(-4.38092234773516e+01dB,1.70684164329080e+02°)
1.28528665994361e+00	(-4.37694814109975e+01dB,1.70662780816072e+02°)
1.28824955169313e+00	(-4.37297405274596e+01dB,1.70641348641344e+02°)
1.29121927361353e+00	(-4.36900008321263e+01dB,1.70619867697064e+02°)
1.29419584144998e+00	(-4.36502623304100e+01dB,1.70598337875183e+02°)
1.29717927098395e+00	(-4.36105250277479e+01dB,1.70576759067429e+02°)
1.30016957803328e+00	(-4.35707889296012e+01dB,1.70555131165315e+02°)
1.30316677845229e+00	(-4.35310540414558e+01dB,1.70533454060131e+02°)
1.30617088813183e+00	(-4.34913203688222e+01dB,1.70511727642948e+02°)
1.30918192299940e+00	(-4.34515879172357e+01dB,1.70489951804617e+02°)
1.31219989901919e+00	(-4.34118566922566e+01dB,1.70468126435767e+02°)
1.31522483219223e+00	(-4.33721266994697e+01dB,1.70446251426808e+02°)
1.31825673855640e+00	(-4.33323979444855e+01dB,1.70424326667926e+02°)
1.32129563418657e+00	(-4.32926704329392e+01dB,1.70402352049088e+02°)
1.32434153519466e+00	(-4.32529441704916e+01dB,1.70380327460037e+02°)
1.32739445772973e+00	(-4.32132191628286e+01dB,1.70358252790296e+02°)
1.33045441797808e+00	(-4.31734954156620e+01dB,1.70336127929163e+02°)
1.33352143216332e+00	(-4.31337729347289e+01dB,1.70313952765716e+02°)
1.33659551654643e+00	(-4.30940517257923e+01dB,1.70291727188807e+02°)
