time	V(escalon)	V(vout)
8.665797618117941e-07	1.000000e+00	3.788941e-05
9.615617361077186e-07	1.000000e+00	3.370325e-05
4.007403904284820e-06	1.000000e+00	5.773224e-05
7.053246072461922e-06	1.000000e+00	1.152953e-04
1.009908824063902e-05	1.000000e+00	2.063925e-04
1.314493040881613e-05	1.000000e+00	3.310239e-04
1.619077257699323e-05	1.000000e+00	4.891893e-04
1.923661474517033e-05	1.000000e+00	6.808889e-04
2.228245691334742e-05	1.000000e+00	9.061226e-04
4.361301646441209e-05	1.000000e+00	3.392849e-03
8.627413556654140e-05	1.000000e+00	1.303494e-02
1.171572230536897e-04	1.000000e+00	2.377138e-02
1.295770116777391e-04	1.000000e+00	2.894555e-02
1.399512475896117e-04	1.000000e+00	3.363273e-02
1.567902220973709e-04	1.000000e+00	4.193215e-02
1.837375442704606e-04	1.000000e+00	5.693923e-02
2.248823810582665e-04	1.000000e+00	8.374152e-02
2.799123179155546e-04	1.000000e+00	1.263565e-01
3.339213948060381e-04	1.000000e+00	1.749397e-01
3.661007274499071e-04	1.000000e+00	2.067275e-01
3.791806575998754e-04	1.000000e+00	2.201976e-01
3.893062340866959e-04	1.000000e+00	2.308287e-01
4.057467643055263e-04	1.000000e+00	2.484495e-01
4.320884316689391e-04	1.000000e+00	2.775488e-01
4.724596078401325e-04	1.000000e+00	3.239917e-01
5.269950433500300e-04	1.000000e+00	3.896585e-01
5.816456065714313e-04	1.000000e+00	4.580118e-01
6.150582746960774e-04	1.000000e+00	5.006838e-01
6.287886083465998e-04	1.000000e+00	5.183497e-01
6.386681620137442e-04	1.000000e+00	5.310940e-01
6.547139578507351e-04	1.000000e+00	5.518340e-01
6.804529623150424e-04	1.000000e+00	5.851579e-01
7.200429359334054e-04	1.000000e+00	6.363539e-01
7.740416845195735e-04	1.000000e+00	7.055416e-01
8.292771253446847e-04	1.000000e+00	7.748378e-01
8.639508444300013e-04	1.000000e+00	8.172468e-01
8.783709484011589e-04	1.000000e+00	8.345799e-01
8.879883443657329e-04	1.000000e+00	8.460299e-01
9.036129765921137e-04	1.000000e+00	8.644312e-01
9.287061561781383e-04	1.000000e+00	8.934285e-01
9.674467850434483e-04	1.000000e+00	9.367237e-01
1.020821227054129e-03	1.000000e+00	9.930998e-01
1.076619486542522e-03	1.000000e+00	1.047511e+00
1.112679502177302e-03	1.000000e+00	1.079994e+00
1.127889809645364e-03	1.000000e+00	1.093027e+00
1.137205131545698e-03	1.000000e+00	1.100807e+00
1.152343811203023e-03	1.000000e+00	1.113117e+00
1.176688340079700e-03	1.000000e+00	1.132031e+00
1.214429141692208e-03	1.000000e+00	1.159144e+00
1.267016612673075e-03	1.000000e+00	1.192305e+00
1.323377804845854e-03	1.000000e+00	1.221698e+00
1.361085499011260e-03	1.000000e+00	1.237739e+00
1.377283755519483e-03	1.000000e+00	1.243728e+00
1.386218484471433e-03	1.000000e+00	1.246798e+00
1.400743941275173e-03	1.000000e+00	1.251436e+00
1.424138663677781e-03	1.000000e+00	1.257984e+00
1.460588378493932e-03	1.000000e+00	1.265924e+00
1.512080612317596e-03	1.000000e+00	1.272480e+00
1.569005565234409e-03	1.000000e+00	1.273476e+00
1.608855697170611e-03	1.000000e+00	1.270347e+00
1.626430021366839e-03	1.000000e+00	1.267989e+00
1.634828481932881e-03	1.000000e+00	1.266654e+00
1.648488210940548e-03	1.000000e+00	1.264199e+00
1.670532932483939e-03	1.000000e+00	1.259506e+00
1.705106393673824e-03	1.000000e+00	1.250368e+00
1.754858571754905e-03	1.000000e+00	1.233556e+00
1.812265409055033e-03	1.000000e+00	1.209082e+00
1.855224820347308e-03	1.000000e+00	1.187437e+00
1.875022444378256e-03	1.000000e+00	1.176560e+00
1.882536546596838e-03	1.000000e+00	1.172290e+00
1.894764822759578e-03	1.000000e+00	1.165177e+00
1.914556139154429e-03	1.000000e+00	1.153251e+00
